# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
1520 10 0.662958 1 24.4 1.29e-05 0.01347
1530 10 0.66742 1 17.9 1.36e-05 0.013606
1540 10 0.66742 1.1 12.9 1.48e-05 0.013754
1550 10 0.66742 1 9.5 8.2e-06 0.013836
1560 10 0.66742 1.3 17.5 1.83e-05 0.014019
1570 10 0.66742 1.1 15.5 1.23e-05 0.014142
1580 10 0.66742 1.1 14.6 1.27e-05 0.014269
1590 10 0.676448 1.1 22.7 1.68e-05 0.014437
1600 10 0.680708 1 11.8 9.4e-06 0.014531
1610 10 0.688538 1.1 16.1 1.68e-05 0.014699
1620 10 0.688538 1.1 17.6 1.53e-05 0.014852
1630 10 0.688538 1.2 15.8 1.3e-05 0.014982
1640 10 0.696047 1 14.9 1.06e-05 0.015088
1650 10 0.696047 1.2 19.5 1.77e-05 0.015265
1660 10 0.696047 1 13.8 1.01e-05 0.015366
1670 10 0.696047 1 14.7 1.12e-05 0.015478
1680 10 0.716898 1.1 21.7 1.3e-05 0.015608
1690 10 0.716898 1.1 16.8 1.5e-05 0.015758
1700 10 0.716898 1 16.7 1.95e-05 0.015953
1710 10 0.7234 1.4 19.5 2.03e-05 0.016156
1720 10 0.7234 1.3 18.1 2.72e-05 0.016428
1730 10 0.7234 1.1 16.8 2.06e-05 0.016634
1740 10 0.7234 1.1 18.1 1.6e-05 0.016794
1750 10 0.7234 1 12.8 1.44e-05 0.016938
1760 10 0.7234 1.3 21.5 2.96e-05 0.017234
1770 10 0.7234 1.1 19.3 1.51e-05 0.017385
1780 10 0.730734 1.2 15.9 1.87e-05 0.017572
1790 10 0.730734 1.1 20.7 2.31e-05 0.017803
1800 10 0.730734 1 15.5 1.35e-05 0.017938
1810 10 0.730734 1 14.6 1.03e-05 0.018041
1820 10 0.730734 1.1 14.5 1.5e-05 0.018191
1830 10 0.730734 1 14.3 1.41e-05 0.018332
1840 10 0.730734 1.1 16 1.32e-05 0.018464
